"","literality","list","rating","language","item","Subject","response"
"212","literal","1","Irony","English",6,"S08_1",1
"213","literal","1","Irony","English",6,"S09_1",1
"214","literal","1","Irony","English",6,"S10_1",3
"215","literal","1","Irony","English",6,"S11_1",1
"216","literal","1","Irony","English",6,"S12_1",1
"217","irony","1","Valence","English",7,"S01_1",1
"218","irony","1","Valence","English",7,"S02_1",2
"219","irony","1","Valence","English",7,"S03_1",3
"220","irony","1","Valence","English",7,"S04_1",1
"221","irony","1","Valence","English",7,"S05_1",3
"222","irony","1","Valence","English",7,"S06_1",2
"223","irony","1","Valence","English",7,"S07_1",2
"224","irony","1","Valence","English",7,"S08_1",2
"225","irony","1","Valence","English",7,"S09_1",4
"226","irony","1","Valence","English",7,"S10_1",4
"227","irony","1","Valence","English",7,"S11_1",2
"228","irony","1","Valence","English",7,"S12_1",2
"229","irony","1","Relationship","English",7,"S01_1",0
"230","irony","1","Relationship","English",7,"S02_1",-2
"231","irony","1","Relationship","English",7,"S03_1",0
"232","irony","1","Relationship","English",7,"S04_1",-2
"233","irony","1","Relationship","English",7,"S05_1",-1
"234","irony","1","Relationship","English",7,"S06_1",-1
"235","irony","1","Relationship","English",7,"S07_1",-1
"236","irony","1","Relationship","English",7,"S08_1",-1
"237","irony","1","Relationship","English",7,"S09_1",0
"238","irony","1","Relationship","English",7,"S10_1",0
"239","irony","1","Relationship","English",7,"S11_1",-1
"240","irony","1","Relationship","English",7,"S12_1",-1
"241","irony","1","Irony","English",7,"S01_1",5
"242","irony","1","Irony","English",7,"S02_1",5
"243","irony","1","Irony","English",7,"S03_1",5
"244","irony","1","Irony","English",7,"S04_1",5
"245","irony","1","Irony","English",7,"S05_1",5
"246","irony","1","Irony","English",7,"S06_1",5
"247","irony","1","Irony","English",7,"S07_1",5
"248","irony","1","Irony","English",7,"S08_1",5
"249","irony","1","Irony","English",7,"S09_1",5
"250","irony","1","Irony","English",7,"S10_1",5
"251","irony","1","Irony","English",7,"S11_1",5
"252","irony","1","Irony","English",7,"S12_1",5
"253","literal","1","Valence","English",8,"S01_1",1
"254","literal","1","Valence","English",8,"S02_1",2
"255","literal","1","Valence","English",8,"S03_1",2
"256","literal","1","Valence","English",8,"S04_1",4
"257","literal","1","Valence","English",8,"S05_1",3
"258","literal","1","Valence","English",8,"S06_1",2
"259","literal","1","Valence","English",8,"S07_1",2
"260","literal","1","Valence","English",8,"S08_1",2
"261","literal","1","Valence","English",8,"S09_1",4
"262","literal","1","Valence","English",8,"S10_1",4
"263","literal","1","Valence","English",8,"S11_1",2
"264","literal","1","Valence","English",8,"S12_1",2
"265","literal","1","Relationship","English",8,"S01_1",0
"266","literal","1","Relationship","English",8,"S02_1",0
"267","literal","1","Relationship","English",8,"S03_1",0
"268","literal","1","Relationship","English",8,"S04_1",0
"269","literal","1","Relationship","English",8,"S05_1",0
"270","literal","1","Relationship","English",8,"S06_1",-2
"271","literal","1","Relationship","English",8,"S07_1",-1
"272","literal","1","Relationship","English",8,"S08_1",0
"273","literal","1","Relationship","English",8,"S09_1",0
"274","literal","1","Relationship","English",8,"S10_1",0
"275","literal","1","Relationship","English",8,"S11_1",0
"276","literal","1","Relationship","English",8,"S12_1",0
"277","literal","1","Irony","English",8,"S01_1",1
"278","literal","1","Irony","English",8,"S02_1",1
"279","literal","1","Irony","English",8,"S03_1",3
"280","literal","1","Irony","English",8,"S04_1",2
"281","literal","1","Irony","English",8,"S05_1",1
"282","literal","1","Irony","English",8,"S06_1",1
"283","literal","1","Irony","English",8,"S07_1",1
"284","literal","1","Irony","English",8,"S08_1",1
"285","literal","1","Irony","English",8,"S09_1",2
"286","literal","1","Irony","English",8,"S10_1",3
"287","literal","1","Irony","English",8,"S11_1",1
"288","literal","1","Irony","English",8,"S12_1",1
"289","irony","1","Valence","English",9,"S01_1",1
"290","irony","1","Valence","English",9,"S02_1",3
"291","irony","1","Valence","English",9,"S03_1",2
"292","irony","1","Valence","English",9,"S04_1",3
"293","irony","1","Valence","English",9,"S05_1",3
"294","irony","1","Valence","English",9,"S06_1",1
"295","irony","1","Valence","English",9,"S07_1",2
"296","irony","1","Valence","English",9,"S08_1",2
"297","irony","1","Valence","English",9,"S09_1",3
"298","irony","1","Valence","English",9,"S10_1",1
"299","irony","1","Valence","English",9,"S11_1",3
"300","irony","1","Valence","English",9,"S12_1",1
"301","irony","1","Relationship","English",9,"S01_1",-3
"302","irony","1","Relationship","English",9,"S02_1",-1
"303","irony","1","Relationship","English",9,"S03_1",-1
"304","irony","1","Relationship","English",9,"S04_1",-1
"305","irony","1","Relationship","English",9,"S05_1",0
"306","irony","1","Relationship","English",9,"S06_1",-2
"307","irony","1","Relationship","English",9,"S07_1",-1
"308","irony","1","Relationship","English",9,"S08_1",-1
"309","irony","1","Relationship","English",9,"S09_1",0
"310","irony","1","Relationship","English",9,"S10_1",-2
"311","irony","1","Relationship","English",9,"S11_1",0
"312","irony","1","Relationship","English",9,"S12_1",-1
"313","irony","1","Irony","English",9,"S01_1",1
"314","irony","1","Irony","English",9,"S02_1",1
"315","irony","1","Irony","English",9,"S03_1",1
"316","irony","1","Irony","English",9,"S04_1",1
"317","irony","1","Irony","English",9,"S05_1",1
"318","irony","1","Irony","English",9,"S06_1",1
"319","irony","1","Irony","English",9,"S07_1",1
"320","irony","1","Irony","English",9,"S08_1",1
"321","irony","1","Irony","English",9,"S09_1",1
"322","irony","1","Irony","English",9,"S10_1",4
"323","irony","1","Irony","English",9,"S11_1",1
"324","irony","1","Irony","English",9,"S12_1",1
"325","literal","1","Valence","English",10,"S01_1",1
"326","literal","1","Valence","English",10,"S02_1",4
"327","literal","1","Valence","English",10,"S03_1",4
"328","literal","1","Valence","English",10,"S04_1",2
"329","literal","1","Valence","English",10,"S05_1",5
"330","literal","1","Valence","English",10,"S06_1",4
"331","literal","1","Valence","English",10,"S07_1",3
"332","literal","1","Valence","English",10,"S08_1",3
"333","literal","1","Valence","English",10,"S09_1",3
"334","literal","1","Valence","English",10,"S10_1",4
"335","literal","1","Valence","English",10,"S11_1",4
"336","literal","1","Valence","English",10,"S12_1",1
"337","literal","1","Relationship","English",10,"S01_1",-1
"338","literal","1","Relationship","English",10,"S02_1",0
"339","literal","1","Relationship","English",10,"S03_1",0
"340","literal","1","Relationship","English",10,"S04_1",-2
"341","literal","1","Relationship","English",10,"S05_1",1
"342","literal","1","Relationship","English",10,"S06_1",-1
"343","literal","1","Relationship","English",10,"S07_1",-1
"344","literal","1","Relationship","English",10,"S08_1",-1
"345","literal","1","Relationship","English",10,"S09_1",-2
"346","literal","1","Relationship","English",10,"S10_1",-1
"347","literal","1","Relationship","English",10,"S11_1",0
"348","literal","1","Relationship","English",10,"S12_1",-2
"349","literal","1","Irony","English",10,"S01_1",5
"350","literal","1","Irony","English",10,"S02_1",1
"351","literal","1","Irony","English",10,"S03_1",1
"352","literal","1","Irony","English",10,"S04_1",1
"353","literal","1","Irony","English",10,"S05_1",1
"354","literal","1","Irony","English",10,"S06_1",1
"355","literal","1","Irony","English",10,"S07_1",1
"356","literal","1","Irony","English",10,"S08_1",1
"357","literal","1","Irony","English",10,"S09_1",1
"358","literal","1","Irony","English",10,"S10_1",2
"359","literal","1","Irony","English",10,"S11_1",1
"360","literal","1","Irony","English",10,"S12_1",1
"361","irony","1","Valence","English",11,"S01_1",1
"362","irony","1","Valence","English",11,"S02_1",1
"363","irony","1","Valence","English",11,"S03_1",1
"364","irony","1","Valence","English",11,"S04_1",1
"365","irony","1","Valence","English",11,"S05_1",7
"366","irony","1","Valence","English",11,"S06_1",2
"367","irony","1","Valence","English",11,"S07_1",1
"368","irony","1","Valence","English",11,"S08_1",1
"369","irony","1","Valence","English",11,"S09_1",3
"370","irony","1","Valence","English",11,"S10_1",2
"371","irony","1","Valence","English",11,"S11_1",1
"372","irony","1","Valence","English",11,"S12_1",1
"373","irony","1","Relationship","English",11,"S01_1",-3
"374","irony","1","Relationship","English",11,"S02_1",-3
"375","irony","1","Relationship","English",11,"S03_1",-1
"376","irony","1","Relationship","English",11,"S04_1",-3
"377","irony","1","Relationship","English",11,"S05_1",-3
"378","irony","1","Relationship","English",11,"S06_1",-2
"379","irony","1","Relationship","English",11,"S07_1",-2
"380","irony","1","Relationship","English",11,"S08_1",-3
"381","irony","1","Relationship","English",11,"S09_1",-1
"382","irony","1","Relationship","English",11,"S10_1",-3
"383","irony","1","Relationship","English",11,"S11_1",-3
"384","irony","1","Relationship","English",11,"S12_1",-2
"385","irony","1","Irony","English",11,"S01_1",5
"386","irony","1","Irony","English",11,"S02_1",5
"387","irony","1","Irony","English",11,"S03_1",2
"388","irony","1","Irony","English",11,"S04_1",5
"389","irony","1","Irony","English",11,"S05_1",5
"390","irony","1","Irony","English",11,"S06_1",5
"391","irony","1","Irony","English",11,"S07_1",5
"392","irony","1","Irony","English",11,"S08_1",5
"393","irony","1","Irony","English",11,"S09_1",5
"394","irony","1","Irony","English",11,"S10_1",5
"395","irony","1","Irony","English",11,"S11_1",5
"396","irony","1","Irony","English",11,"S12_1",4
"397","literal","1","Valence","English",12,"S01_1",1
"398","literal","1","Valence","English",12,"S02_1",3
"399","literal","1","Valence","English",12,"S03_1",3
"400","literal","1","Valence","English",12,"S04_1",1
"401","literal","1","Valence","English",12,"S05_1",3
"402","literal","1","Valence","English",12,"S06_1",1
"403","literal","1","Valence","English",12,"S07_1",1
"404","literal","1","Valence","English",12,"S08_1",1
"405","literal","1","Valence","English",12,"S09_1",4
"406","literal","1","Valence","English",12,"S10_1",1
"407","literal","1","Valence","English",12,"S11_1",2
"408","literal","1","Valence","English",12,"S12_1",1
"409","literal","1","Relationship","English",12,"S01_1",-3
"410","literal","1","Relationship","English",12,"S02_1",-1
"411","literal","1","Relationship","English",12,"S03_1",-1
"412","literal","1","Relationship","English",12,"S04_1",-2
"413","literal","1","Relationship","English",12,"S05_1",-1
"414","literal","1","Relationship","English",12,"S06_1",-2
"415","literal","1","Relationship","English",12,"S07_1",-2
"416","literal","1","Relationship","English",12,"S08_1",-2
"417","literal","1","Relationship","English",12,"S09_1",0
"418","literal","1","Relationship","English",12,"S10_1",-1
"419","literal","1","Relationship","English",12,"S11_1",-2
"420","literal","1","Relationship","English",12,"S12_1",-1
"421","literal","1","Irony","English",12,"S01_1",1
"422","literal","1","Irony","English",12,"S02_1",1
"423","literal","1","Irony","English",12,"S03_1",1
"424","literal","1","Irony","English",12,"S04_1",1
"425","literal","1","Irony","English",12,"S05_1",1
"426","literal","1","Irony","English",12,"S06_1",1
"427","literal","1","Irony","English",12,"S07_1",1
"428","literal","1","Irony","English",12,"S08_1",2
"429","literal","1","Irony","English",12,"S09_1",3
"430","literal","1","Irony","English",12,"S10_1",1
"431","literal","1","Irony","English",12,"S11_1",1
"432","literal","1","Irony","English",12,"S12_1",1
"433","irony","1","Valence","English",13,"S01_1",4
"434","irony","1","Valence","English",13,"S02_1",3
"435","irony","1","Valence","English",13,"S03_1",2
"436","irony","1","Valence","English",13,"S04_1",3
"437","irony","1","Valence","English",13,"S05_1",4
"438","irony","1","Valence","English",13,"S06_1",3
"439","irony","1","Valence","English",13,"S07_1",4
"440","irony","1","Valence","English",13,"S08_1",5
"441","irony","1","Valence","English",13,"S09_1",3
"442","irony","1","Valence","English",13,"S10_1",4
"443","irony","1","Valence","English",13,"S11_1",4
"444","irony","1","Valence","English",13,"S12_1",1
"445","irony","1","Relationship","English",13,"S01_1",0
"446","irony","1","Relationship","English",13,"S02_1",-1
"447","irony","1","Relationship","English",13,"S03_1",-1
"448","irony","1","Relationship","English",13,"S04_1",0
"449","irony","1","Relationship","English",13,"S05_1",1
"450","irony","1","Relationship","English",13,"S06_1",0
"451","irony","1","Relationship","English",13,"S07_1",-1
"452","irony","1","Relationship","English",13,"S08_1",1
"453","irony","1","Relationship","English",13,"S09_1",-2
"454","irony","1","Relationship","English",13,"S10_1",0
"455","irony","1","Relationship","English",13,"S11_1",0
"456","irony","1","Relationship","English",13,"S12_1",-2
"457","irony","1","Irony","English",13,"S01_1",5
"458","irony","1","Irony","English",13,"S02_1",5
"459","irony","1","Irony","English",13,"S03_1",1
"460","irony","1","Irony","English",13,"S04_1",4
"461","irony","1","Irony","English",13,"S05_1",4
"462","irony","1","Irony","English",13,"S06_1",5
"463","irony","1","Irony","English",13,"S07_1",5
"464","irony","1","Irony","English",13,"S08_1",1
"465","irony","1","Irony","English",13,"S09_1",5
"466","irony","1","Irony","English",13,"S10_1",5
"467","irony","1","Irony","English",13,"S11_1",5
"468","irony","1","Irony","English",13,"S12_1",5
"469","literal","1","Valence","English",14,"S01_1",1
"470","literal","1","Valence","English",14,"S02_1",2
"471","literal","1","Valence","English",14,"S03_1",1
"472","literal","1","Valence","English",14,"S04_1",2
"473","literal","1","Valence","English",14,"S05_1",2
"474","literal","1","Valence","English",14,"S06_1",1
"475","literal","1","Valence","English",14,"S07_1",1
"476","literal","1","Valence","English",14,"S08_1",1
"477","literal","1","Valence","English",14,"S09_1",2
"478","literal","1","Valence","English",14,"S10_1",1
"479","literal","1","Valence","English",14,"S11_1",1
"480","literal","1","Valence","English",14,"S12_1",1
"481","literal","1","Relationship","English",14,"S01_1",-3
"482","literal","1","Relationship","English",14,"S02_1",-2
"483","literal","1","Relationship","English",14,"S03_1",-2
"484","literal","1","Relationship","English",14,"S04_1",-1
"485","literal","1","Relationship","English",14,"S05_1",-1
"486","literal","1","Relationship","English",14,"S06_1",-3
"487","literal","1","Relationship","English",14,"S07_1",-3
"488","literal","1","Relationship","English",14,"S08_1",-2
"489","literal","1","Relationship","English",14,"S09_1",-1
"490","literal","1","Relationship","English",14,"S10_1",-1
"491","literal","1","Relationship","English",14,"S11_1",-3
"492","literal","1","Relationship","English",14,"S12_1",-2
"493","literal","1","Irony","English",14,"S01_1",1
"494","literal","1","Irony","English",14,"S02_1",1
"495","literal","1","Irony","English",14,"S03_1",1
"496","literal","1","Irony","English",14,"S04_1",1
"497","literal","1","Irony","English",14,"S05_1",3
"498","literal","1","Irony","English",14,"S06_1",1
"499","literal","1","Irony","English",14,"S07_1",1
"500","literal","1","Irony","English",14,"S08_1",1
"501","literal","1","Irony","English",14,"S09_1",1
"502","literal","1","Irony","English",14,"S10_1",1
"503","literal","1","Irony","English",14,"S11_1",1
"504","literal","1","Irony","English",14,"S12_1",1
"505","irony","1","Valence","English",15,"S01_1",1
"506","irony","1","Valence","English",15,"S02_1",3
"507","irony","1","Valence","English",15,"S03_1",2
"508","irony","1","Valence","English",15,"S04_1",2
"509","irony","1","Valence","English",15,"S05_1",3
"510","irony","1","Valence","English",15,"S06_1",4
"511","irony","1","Valence","English",15,"S07_1",3
"512","irony","1","Valence","English",15,"S08_1",4
"513","irony","1","Valence","English",15,"S09_1",4
"514","irony","1","Valence","English",15,"S10_1",2
"515","irony","1","Valence","English",15,"S11_1",3
"516","irony","1","Valence","English",15,"S12_1",1
"517","irony","1","Relationship","English",15,"S01_1",-3
"518","irony","1","Relationship","English",15,"S02_1",-2
"519","irony","1","Relationship","English",15,"S03_1",0
"520","irony","1","Relationship","English",15,"S04_1",-2
"521","irony","1","Relationship","English",15,"S05_1",0
"522","irony","1","Relationship","English",15,"S06_1",0
"523","irony","1","Relationship","English",15,"S07_1",-1
"524","irony","1","Relationship","English",15,"S08_1",0
"525","irony","1","Relationship","English",15,"S09_1",0
"526","irony","1","Relationship","English",15,"S10_1",0
"527","irony","1","Relationship","English",15,"S11_1",-1
"528","irony","1","Relationship","English",15,"S12_1",0
"529","irony","1","Irony","English",15,"S01_1",5
"530","irony","1","Irony","English",15,"S02_1",2
"531","irony","1","Irony","English",15,"S03_1",3
"532","irony","1","Irony","English",15,"S04_1",5
"533","irony","1","Irony","English",15,"S05_1",2
"534","irony","1","Irony","English",15,"S06_1",3
"535","irony","1","Irony","English",15,"S07_1",5
"536","irony","1","Irony","English",15,"S08_1",1
"537","irony","1","Irony","English",15,"S09_1",4
"538","irony","1","Irony","English",15,"S10_1",5
"539","irony","1","Irony","English",15,"S11_1",5
"540","irony","1","Irony","English",15,"S12_1",5
"541","literal","1","Valence","English",16,"S01_1",1
"542","literal","1","Valence","English",16,"S02_1",2
"543","literal","1","Valence","English",16,"S03_1",5
"544","literal","1","Valence","English",16,"S04_1",1
"545","literal","1","Valence","English",16,"S05_1",6
"546","literal","1","Valence","English",16,"S06_1",1
"547","literal","1","Valence","English",16,"S07_1",2
"548","literal","1","Valence","English",16,"S08_1",2
"549","literal","1","Valence","English",16,"S09_1",3
"550","literal","1","Valence","English",16,"S10_1",1
"551","literal","1","Valence","English",16,"S11_1",2
"552","literal","1","Valence","English",16,"S12_1",1
"553","literal","1","Relationship","English",16,"S01_1",-3
"554","literal","1","Relationship","English",16,"S02_1",-1
"555","literal","1","Relationship","English",16,"S03_1",0
"556","literal","1","Relationship","English",16,"S04_1",-3
"557","literal","1","Relationship","English",16,"S05_1",1
"558","literal","1","Relationship","English",16,"S06_1",-3
"559","literal","1","Relationship","English",16,"S07_1",-1
"560","literal","1","Relationship","English",16,"S08_1",-2
"561","literal","1","Relationship","English",16,"S09_1",0
"562","literal","1","Relationship","English",16,"S10_1",-3
"563","literal","1","Relationship","English",16,"S11_1",-2
"564","literal","1","Relationship","English",16,"S12_1",-3
"565","literal","1","Irony","English",16,"S01_1",5
"566","literal","1","Irony","English",16,"S02_1",1
"567","literal","1","Irony","English",16,"S03_1",5
